sim,PU,PSWU,xt_opt,cost
243,30.810006680787172,73.34269476257182,0.04999999851731072,-5.838113242180049
244,30.745279240858892,79.37951342207181,0.04999999851731072,-6.621828333091724
245,29.342549949743724,65.77950848991107,0.04999999851731072,-5.036766963699969
246,25.73014606444744,68.55044430093552,0.04999999851731072,-5.814157474543304
247,23.495140161063727,61.7924066345284,0.04999999851731072,-5.205810008337259
248,33.00489978302564,68.45850103234118,0.04999999851731072,-4.9542652342169005
249,29.739787568825204,65.20721912443489,0.04999999851731072,-4.916877370830451
250,27.48297855504174,61.83027619198585,0.04999999851731072,-4.745787720893633
251,29.003975344815196,67.0147236680558,0.04999999851731072,-5.235051864447545
252,31.927380395774552,69.2849654411682,0.04999999851731072,-5.1861401525979876
253,25.81432202434254,71.2317061818203,0.04999999851731072,-6.1490812264514325
254,27.23878966155119,78.60139237674115,0.04999999851731072,-6.93056025170023
255,28.614426231533784,61.118913273917364,0.04999999851731072,-4.522424885805512
256,25.42999484808359,77.9110984341024,0.04999999851731072,-7.052671722933049
257,34.72377155914455,78.46073322741532,0.04999999851731072,-6.039896659828285
258,34.69461021750626,70.76042898350596,0.04999999851731072,-5.05324823431228
259,31.01092137097575,60.78152834643889,0.04999999851731072,-4.1996695981542835
260,30.068084739589377,72.70985309413267,0.04999999851731072,-5.843238384034028
261,20.738814044417783,62.22616767024365,0.04999999851731072,-5.5829047302263035
262,29.487776744312537,57.78199039708753,0.04999999851731072,-3.991575296017991
263,29.251287755052335,60.69725336060143,0.04999999851731072,-4.393967411797357
264,28.34490609362456,74.73758708980468,0.04999999851731072,-6.304832818536589
265,31.49501855497603,65.7860656859639,0.04999999851731072,-4.7866811466331685
266,27.51043004218952,73.74717426296063,0.04999999851731072,-6.274773819012136
267,31.008222805172927,75.47993733093898,0.04999999851731072,-6.089796538185724
268,34.740551572517944,72.25062695893568,0.04999999851731072,-5.239491113763129
269,22.68871508023006,60.20860145440439,0.04999999851731072,-5.096186918362992
270,30.835406341973123,62.76470646076862,0.04999999851731072,-4.475112983905044
271,32.15086674210125,78.33416042496229,0.04999999851731072,-6.323565062537492
272,39.95124603573005,72.46507025818019,0.007110000129997521,-1.1644473346722958e10
273,30.101575645025488,70.93830340572023,0.04999999851731072,-5.61156139397683
274,29.76168517773694,68.1342699925737,0.04999999851731072,-5.290663086218708
275,35.664816857932415,80.64065628036893,0.04999999851731072,-6.210470505853691
276,35.44093922812448,74.30849251388292,0.04999999851731072,-5.422426921187053
277,31.763093510832103,75.45729447261392,0.04999999851731072,-5.99888452882341
278,32.62235702126361,66.29972473695507,0.04999999851731072,-4.721301585763404
279,28.070984177504464,67.19622579553247,0.04999999851731072,-5.367153615129901
280,31.933591493728926,67.47348330515645,0.04999999851731072,-4.952509149986927
281,30.446506063426405,67.74582461343864,0.04999999851731072,-5.160885119483581
282,28.548423632979624,72.3730372086453,0.04999999851731072,-5.977091025275403
283,31.182462032294545,72.09384700938473,0.04999999851731072,-5.634125841492618
284,29.02413354414446,76.49429188425891,0.04999999851731072,-6.451514409059728
285,31.40170164215478,70.93247096462117,0.04999999851731072,-5.459246375317937
286,32.72265942752504,71.7480426001199,0.04999999851731072,-5.410112884294473
287,34.913440762189474,66.45788741881843,0.007110000129997521,-1.0176118902194057e10
288,21.920219122749803,54.624069858883146,0.04999999851731072,-4.467758442470707
289,26.572846647692938,65.1668305990868,0.04999999851731072,-5.280877809783337
290,31.969621591836365,64.70142366579454,0.04999999851731072,-4.591898003212654
291,28.99476662650071,62.318855529502066,0.04999999851731072,-4.63236551492726
292,30.037040802476124,61.868736367346244,0.04999999851731072,-4.452987065627127
293,31.865183760079947,64.66333578189736,0.04999999851731072,-4.599176022043605
294,32.63211585773409,69.08525945084214,0.04999999851731072,-5.078307309079263
295,28.495447579495327,69.38213952379192,0.04999999851731072,-5.5987193999283225
296,23.58383959720414,69.55370201701979,0.04999999851731072,-6.1933594338949725
297,28.213141956266792,73.95262579725593,0.04999999851731072,-6.219269022956101
298,30.678937179922492,74.29266631558188,0.04999999851731072,-5.975533257923788
299,34.09884437791952,70.39165507378884,0.04999999851731072,-5.075286771017227
300,33.42878491758999,70.79625915348205,0.04999999851731072,-5.205421457029356
301,28.79264112475557,62.05797519745137,0.04999999851731072,-4.622386695066331
302,35.154036850722115,72.82706924160915,0.04999999851731072,-5.265402803756212
303,24.191555454845176,72.82697895175097,0.04999999851731072,-6.5433672411272585
304,26.76822284080285,76.12714148008233,0.04999999851731072,-6.667296823817491
305,27.362785426203732,74.70994658735445,0.04999999851731072,-6.415771944452775
306,24.129540228167016,69.36216104512553,0.04999999851731072,-6.105116232727287
307,28.351683768068373,61.63811782320286,0.04999999851731072,-4.61981015020537
308,32.814298180935836,63.0882742124505,0.04999999851731072,-4.28602113535562
309,22.117878843752166,64.04018125372967,0.04999999851731072,-5.655369538834586
310,33.460150209581656,71.26492383893583,0.04999999851731072,-5.262022404463945
311,31.995392717073702,76.55969805974127,0.04999999851731072,-6.113542595979692
312,34.90755472552857,76.10512763270485,0.04999999851731072,-5.715605435674922
313,31.98732950335713,74.33693518650075,0.04999999851731072,-5.828696228483864
314,24.579483692349882,77.94409164057814,0.04999999851731072,-7.1560640048838255
315,25.83371471010684,73.49736587994038,0.04999999851731072,-6.438122190537061
316,28.78993496857577,68.58421755598872,0.04999999851731072,-5.4617979817962645
317,30.330994715855088,67.88369617354654,0.04999999851731072,-5.192077617943724
318,27.462290138288115,57.088268923825325,0.04999999851731072,-4.1385074162843605
319,33.25935184691534,60.95583874949843,0.007110000129997521,-9.694006431601088e9
320,29.63257703131581,64.68539198270575,0.04999999851731072,-4.862283020214723
